slug,festival_name,destination,state,month,bucket,footage_family,currently_live,note
summer-festival-yercaud,Summer Festival,Yercaud,tamil nadu,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
krishna-janmashtami-birth-of-krishna,Krishna Janmashtami (Birth of Krishna),Mathura,uttar pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kali-puja,Kali Puja,Kolkata,west bengal,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
poush-mela,Poush Mela,Shantiniketan,west bengal,December,NONE,obscure,no,No obvious authentic free footage — image fallback.
basanta-utsav-spring-festival,Basanta Utsav (Spring Festival),Shantiniketan,west bengal,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
harela-mela-monsoon-festival,Harela Mela (Monsoon Festival),Bhimtal,uttarakhand,July,NONE,obscure,no,No obvious authentic free footage — image fallback.
bonbibi-mela-forest-goddess-festival,Bonbibi Mela (Forest Goddess Festival),Sundarbans,west bengal,January,NONE,obscure,no,No obvious authentic free footage — image fallback.
hanuman-jayanti,Hanuman Jayanti,Sariska Tiger Reserve,rajasthan,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tskhenye-festival,Tsükhenye Festival,Pfutsero,nagaland,April,NONE,obscure,no,No obvious authentic free footage — image fallback.
bihu-rongalibohag,Bihu (Rongali/Bohag),Guwahati,assam,April,SPECIFIC,bihu,yes,"Assam dance, dhol, gamosa."
pushkar-camel-fair,Pushkar Camel Fair,Pushkar,rajasthan,November,SPECIFIC,camel-fair,yes,Camels + desert fairground.
bikaner-camel-festival,Bikaner Camel Festival,Bikaner,rajasthan,January,SPECIFIC,camel-fair,yes,Camels + desert fairground.
yamuna-chhath,Yamuna Chhath,Yamunotri,uttarakhand,April,SPECIFIC,chhath,yes,Riverbank sunrise offerings.
chhath-puja,Chhath Puja,Patna,bihar,November,SPECIFIC,chhath,yes,Riverbank sunrise offerings.
chhath-puja-at-netarhat,Chhath Puja at Netarhat,Netarhat,jharkhand,November,SPECIFIC,chhath,yes,Riverbank sunrise offerings.
navratri-at-mahalaxmi-temple,Navratri at Mahalaxmi Temple,Kolhapur,maharashtra,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
vijayawada-dussehra-durga-navaratri,Vijayawada Dussehra (Durga Navaratri),Vijayawada,andhra pradesh,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
durga-puja-cuttack-silver-edition,Durga Puja (Cuttack Silver Edition),Cuttack,odisha,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
navratri-garba,Navratri Garba,Vadodara,gujarat,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
shantadurga-temple-annual-fair,Shantadurga Temple Annual Fair,Spice Plantations (Ponda),goa,December,SPECIFIC,durga-navratri,no,Pandals/idols OR garba circle.
navratri,Navratri,Karla & Bhaja Caves,maharashtra,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
durga-puja,Durga Puja,Kolkata,west bengal,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
navratri-pilgrimage-at-vaishno-devi,Navratri Pilgrimage at Vaishno Devi,Katra,jammu kashmir,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
sharan-navaratri-at-jogulamba-temple,Sharan Navaratri at Jogulamba Temple,Alampur,telangana,October,SPECIFIC,durga-navratri,yes,Pandals/idols OR garba circle.
ganesh-chaturthi-at-trinetra-ganesh-temple,Ganesh Chaturthi at Trinetra Ganesh Temple,Ranthambore,rajasthan,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-mumbai,Ganesh Chaturthi,Mumbai,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-ganeshotsav,Ganesh Chaturthi (Ganeshotsav),Pune,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-astavinayak-circuit,Ganesh Chaturthi,Astavinayak Circuit,maharashtra,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-ganpatipule,Ganesh Chaturthi,Ganpatipule,maharashtra,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-lenyadri,Ganesh Chaturthi,Lenyadri,maharashtra,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
maghi-ganesh-jayanti-lenyadri,Maghi Ganesh Jayanti,Lenyadri,maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-morgaon,Ganesh Chaturthi,Morgaon,maharashtra,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
maghi-ganesh-jayanti-morgaon,Maghi Ganesh Jayanti,Morgaon,maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-mahad-raigad,Ganesh Chaturthi,Mahad (Raigad — Ashtavinayak),maharashtra,September,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
maghi-ganesh-jayanti-mahad-raigad,Maghi Ganesh Jayanti,Mahad (Raigad — Ashtavinayak),maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-ozar,Ganesh Chaturthi,Ozar,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
maghi-ganesh-maghi-chaturthi,Maghi Ganesh (Maghi Chaturthi),Ozar,maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-pali-raigad,Ganesh Chaturthi,Pali (Raigad),maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-ranjangaon,Ganesh Chaturthi,Ranjangaon,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-jayanti-maghi,Ganesh Jayanti (Maghi),Ranjangaon,maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-jayanti-maghi-ganesh,Ganesh Jayanti (Maghi Ganesh),Siddhatek,maharashtra,January,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-siddhatek,Ganesh Chaturthi,Siddhatek,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
ganesh-chaturthi-theur,Ganesh Chaturthi,Theur,maharashtra,August,SPECIFIC,ganesh,yes,Ganesh idol + visarjan.
goa-carnival-panaji,Goa Carnival,Panaji,goa,February,SPECIFIC,goa-carnival,no,"Float parade, King Momo."
goa-carnival-margao,Goa Carnival,Margao,goa,February,SPECIFIC,goa-carnival,no,"Float parade, King Momo."
magh-mela-prayagraj,Magh Mela,Prayagraj,uttar pradesh,January,SPECIFIC,kumbh-snan,yes,River mass-bathing ghats.
ganga-aarti-at-har-ki-pauri-kumbh-legacy,Ganga Aarti at Har Ki Pauri (Kumbh legacy),Haridwar,uttarakhand,January,SPECIFIC,kumbh-snan,yes,River mass-bathing ghats.
magh-mela-uttarkashi,Magh Mela,Uttarkashi,uttarakhand,January,SPECIFIC,kumbh-snan,yes,River mass-bathing ghats.
magh-mela-jaunsar,Magh Mela (Jaunsar),Chakrata,uttarakhand,January,SPECIFIC,kumbh-snan,yes,River mass-bathing ghats.
kumbh-mela,Kumbh Mela,Nashik,maharashtra,August,SPECIFIC,kumbh-snan,yes,River mass-bathing ghats.
nashik-trimbakeshwar-simhastha-kumbh-mela,Nashik-Trimbakeshwar Simhastha Kumbh Mela,Trimbakeshwar,maharashtra,,SPECIFIC,kumbh-snan,no,River mass-bathing ghats.
simhastha-kumbh-mela,Simhastha Kumbh Mela,Ujjain,madhya pradesh,April,SPECIFIC,kumbh-snan,no,River mass-bathing ghats.
jaipur-literature-festival,Jaipur Literature Festival,Jaipur,rajasthan,January,SPECIFIC,litfest,yes,Tented sessions/crowd. Generic conference if none.
kovalam-literary-festival,Kovalam Literary Festival,Kovalam,kerala,December,SPECIFIC,litfest,yes,Tented sessions/crowd. Generic conference if none.
hemis-festival,Hemis Festival,Leh,ladakh,June,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
chamba-minjar-fair,Chamba Minjar Fair,Chamba,himachal pradesh,July,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
chamba-dussehra,Chamba Dussehra,Chamba,himachal pradesh,October,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
dosmoche-festival-diskit,Dosmoche Festival (Diskit),Nubra Valley,ladakh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
karsha-gustor,Karsha Gustor,Zanskar Valley,ladakh,July,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
korzok-gustor,Korzok Gustor,Tso Moriri,ladakh,July,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
champawat-nanda-devi-fair,Champawat Nanda Devi Fair,Champawat,uttarakhand,September,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetan-new-year-darjeeling,Losar (Tibetan New Year),Darjeeling,west bengal,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetansikkimese-new-year,Losar (Tibetan/Sikkimese New Year),Gangtok,sikkim,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
saga-dawa-gangtok,Saga Dawa,Gangtok,sikkim,June,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-monpa-new-year,Losar (Monpa New Year),Tawang,arunachal pradesh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
saga-dawa-pelling,Saga Dawa,Pelling,sikkim,June,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetan-new-year-dharamshala,Losar (Tibetan New Year),Dharamshala,himachal pradesh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
saga-dawa-gangtok,Saga Dawa,Gangtok,sikkim,May,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar,Losar,Gangtok,sikkim,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
nag-panchami-battis-shirala,Nag Panchami (Battis Shirala),Kolhapur,maharashtra,August,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
vasant-panchami,Vasant Panchami,Basara,telangana,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
champaner-heritage-festival,Champaner Heritage Festival,Champaner-Pavagadh,gujarat,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetan-new-year-mcleodganj,Losar (Tibetan New Year),McLeod Ganj,himachal pradesh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetan-new-year-halda,Losar (Tibetan New Year / Halda),Lahaul Valley,himachal pradesh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
likir-dosmochey-stromochey-festival,Likir Dosmochey (Stromochey) Festival,Likir,ladakh,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
champa-shashti-shasti,Champa Shashti (Shasti),Kukke Subramanya,karnataka,December,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
dubdi-monastery-festival,Dubdi Monastery Festival,Yuksom,sikkim,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
mahakala-dance-ralang-monastery,Mahakala Dance (Ralang Monastery),Ravangla,sikkim,November,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
losar-tibetan-new-year-kalimpong,Losar (Tibetan New Year),Kalimpong,west bengal,February,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
nagara-panchami,Nagara Panchami,Kukke Subramanya,karnataka,August,SPECIFIC,monastery-cham,yes,"Masked Cham dance, monastery courtyard."
nehru-trophy-boat-race,Nehru Trophy Boat Race,Alleppey (Alappuzha),kerala,August,SPECIFIC,onam-boatrace,yes,Snake-boat race / pookalam.
alleppey-houseboat-onam,Alleppey Houseboat Onam,Alleppey (Alappuzha),kerala,September,SPECIFIC,onam-boatrace,yes,Snake-boat race / pookalam.
aranmula-boat-race,Aranmula Boat Race,Alleppey (Alappuzha),kerala,September,SPECIFIC,onam-boatrace,yes,Snake-boat race / pookalam.
neermahal-water-festival-boat-race,Neermahal Water Festival - Boat Race,Neermahal,tripura,August,SPECIFIC,onam-boatrace,yes,Snake-boat race / pookalam.
rath-yatra,Rath Yatra,Puri,odisha,July,SPECIFIC,rath-yatra,yes,Giant chariots + crowds (Puri).
bathukamma,Bathukamma,Hyderabad,telangana,October,SUBTYPE,bathukamma,yes,Flower-stack + women circle. Specific or image.
bathukamma-at-bhadrakali-lake,Bathukamma at Bhadrakali Lake,Warangal,telangana,October,SUBTYPE,bathukamma,yes,Flower-stack + women circle. Specific or image.
bonalu,Bonalu,Hyderabad,telangana,July,SUBTYPE,bonalu,yes,Telangana pot-on-head + potharaju. Specific or image.
mysore-dasara,Mysore Dasara,Mysore,karnataka,October,SUBTYPE,dasara-mysore,yes,Caparisoned-elephant Jamboo Savari. Needs Mysore-specific clip.
mysore-dasara-exhibition,Mysore Dasara Exhibition,Mysore,karnataka,October,SUBTYPE,dasara-mysore,yes,Caparisoned-elephant Jamboo Savari. Needs Mysore-specific clip.
kullu-dussehra-manali,Kullu Dussehra,Manali,himachal pradesh,October,SUBTYPE,dussehra-kullu,yes,"Deity-palanquin procession in the maidan, NOT effigy. Specific or image."
kullu-dussehra-kullu,Kullu Dussehra,Kullu,himachal pradesh,October,SUBTYPE,dussehra-kullu,yes,"Deity-palanquin procession in the maidan, NOT effigy. Specific or image."
bastar-dussehra,Bastar Dussehra,Jagdalpur,chhattisgarh,October,SUBTYPE,dussehra-tribal-bastar,yes,"Tribal Dussehra (rath/anga deo), NOT Ravana-effigy. Specific or image."
hornbill-festival,Hornbill Festival,Kohima,nagaland,December,SUBTYPE,hornbill,yes,Naga morungs/log-drums. Needs Hornbill-specific clip.
theyyam-season,Theyyam Season,Kannur,kerala,November,SUBTYPE,theyyam,yes,Kerala ritual costume/fire. Specific or image.
thrissur-pooram,Thrissur Pooram,Thrissur,kerala,April,SUBTYPE,thrissur-pooram,yes,Elephant line + parasols + percussion. Specific.
cherai-pooram-gowreeswara-temple-festival,Cherai Pooram (Gowreeswara Temple Festival),Cherai Beach,kerala,January,SUBTYPE,thrissur-pooram,yes,Elephant line + parasols + percussion. Specific.
